total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00,0.00,100000.00,USD,CRYPTO-001,MARGIN,USD,[],True,{}
99999.91,33.25,99966.66,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '33.25', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99986.80,0.00,99986.80,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99986.69,37.80,99948.89,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '37.80', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100560.92,0.00,100560.92,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100560.24,239.02,100321.22,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '239.02', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100670.98,0.00,100670.98,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100670.41,200.06,100470.35,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '200.06', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100693.15,0.00,100693.15,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100692.56,208.22,100484.34,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '208.22', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100912.09,0.00,100912.09,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100911.71,131.25,100780.46,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '131.25', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100856.16,0.00,100856.16,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100855.84,111.92,100743.92,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '111.92', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100921.54,0.00,100921.54,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100921.29,88.84,100832.45,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '88.84', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100903.29,0.00,100903.29,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100903.05,82.62,100820.43,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '82.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100894.58,0.00,100894.58,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100894.34,85.51,100808.83,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '85.51', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100908.29,0.00,100908.29,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100908.03,90.48,100817.55,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '90.48', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100928.04,0.00,100928.04,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100927.80,83.39,100844.41,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '83.39', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
101069.31,0.00,101069.31,USD,CRYPTO-001,MARGIN,USD,[],False,{}
101068.93,133.05,100935.88,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '133.05', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
101023.71,0.00,101023.71,USD,CRYPTO-001,MARGIN,USD,[],False,{}
101023.29,148.73,100874.56,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '148.73', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
101252.71,0.00,101252.71,USD,CRYPTO-001,MARGIN,USD,[],False,{}
101252.05,229.26,101022.79,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '229.26', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
