total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00,0.00,100000.00,USD,CRYPTO-001,MARGIN,USD,[],True,{}
99999.87,46.62,99953.25,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '46.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100021.46,0.00,100021.46,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100021.35,39.03,99982.32,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '39.03', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100017.73,0.00,100017.73,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100017.62,37.80,99979.82,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '37.80', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100011.37,0.00,100011.37,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100011.26,39.95,99971.31,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '39.95', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100042.22,0.00,100042.22,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100042.07,50.83,99991.24,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '50.83', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99480.63,0.00,99480.63,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99479.92,247.09,99232.83,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '247.09', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99632.60,0.00,99632.60,USD,CRYPTO-001,MARGIN,USD,[],False,{}
