total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00,0.00,100000.00,USD,CRYPTO-001,MARGIN,USD,[],True,{}
99999.89,39.98,99959.91,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '39.98', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100005.85,0.00,100005.85,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100005.74,38.33,99967.41,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '38.33', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99976.69,0.00,99976.69,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99976.62,26.10,99950.52,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '26.10', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99956.40,0.00,99956.40,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99956.31,31.77,99924.54,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '31.77', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99955.37,0.00,99955.37,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99955.27,33.61,99921.66,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '33.61', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99979.17,0.00,99979.17,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99979.05,42.92,99936.13,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '42.92', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99993.06,0.00,99993.06,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99992.94,43.45,99949.49,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '43.45', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99991.05,0.00,99991.05,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99990.92,45.63,99945.29,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '45.63', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99989.69,0.00,99989.69,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99989.56,44.60,99944.96,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '44.60', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99988.31,0.00,99988.31,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99988.18,45.15,99943.03,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '45.15', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99990.11,0.00,99990.11,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99989.97,49.89,99940.08,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '49.89', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99993.52,0.00,99993.52,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99993.32,69.99,99923.33,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '69.99', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99997.15,0.00,99997.15,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99996.73,146.28,99850.45,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '146.28', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100169.02,0.00,100169.02,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100168.14,306.64,99861.50,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '306.64', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100418.31,0.00,100418.31,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100417.64,232.95,100184.69,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '232.95', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100593.94,0.00,100593.94,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100593.07,304.57,100288.50,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '304.57', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100405.09,0.00,100405.09,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100404.42,235.26,100169.16,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '235.26', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100305.84,0.00,100305.84,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100305.23,212.04,100093.19,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '212.04', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100264.45,0.00,100264.45,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100263.82,219.73,100044.09,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '219.73', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100080.31,0.00,100080.31,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100079.85,161.18,99918.67,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '161.18', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100039.88,0.00,100039.88,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100039.38,174.36,99865.02,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '174.36', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100032.02,0.00,100032.02,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100031.58,154.10,99877.48,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '154.10', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99951.13,0.00,99951.13,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99950.60,183.80,99766.80,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '183.80', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99882.96,0.00,99882.96,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99882.35,212.79,99669.56,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '212.79', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99868.79,0.00,99868.79,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99868.21,203.40,99664.81,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '203.40', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99852.20,0.00,99852.20,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99851.56,224.28,99627.28,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '224.28', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99860.98,0.00,99860.98,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99860.35,221.01,99639.34,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '221.01', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99866.68,0.00,99866.68,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99866.06,217.54,99648.52,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '217.54', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99752.52,0.00,99752.52,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99752.04,166.34,99585.70,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '166.34', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99843.31,0.00,99843.31,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99842.96,120.86,99722.10,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '120.86', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99767.11,0.00,99767.11,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99766.72,135.59,99631.13,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '135.59', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99696.23,0.00,99696.23,USD,CRYPTO-001,MARGIN,USD,[],False,{}
