total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00,0.00,100000.00,USD,CRYPTO-001,MARGIN,USD,[],True,{}
99999.88,43.01,99956.87,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '43.01', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99988.39,0.00,99988.39,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99988.28,39.03,99949.25,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '39.03', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100002.23,0.00,100002.23,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100002.13,34.11,99968.02,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '34.11', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100018.70,0.00,100018.70,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100018.59,39.95,99978.64,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '39.95', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100002.00,0.00,100002.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100001.87,45.71,99956.16,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '45.71', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100552.72,0.00,100552.72,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100552.04,238.74,100313.30,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '238.74', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100430.97,0.00,100430.97,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100430.17,280.84,100149.33,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '280.84', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100398.40,0.00,100398.40,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100397.63,269.99,100127.64,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '269.99', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100536.29,0.00,100536.29,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100535.66,221.24,100314.42,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '221.24', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
100517.78,0.00,100517.78,USD,CRYPTO-001,MARGIN,USD,[],False,{}
100517.17,215.19,100301.98,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '215.19', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
