USERID,SYMBOL,EXCHANGE,TRANSACTION,QUANTITY,LOTS,MULTIPLIER,OrderID,ENTRY TIME,ENTRY PRICE,ENTRY REASON,OPTION TYPE,STRIKE,PORTFOLIO NAME,STRATEGY,EXIT TIME,AVG EXIT PRICE,EXIT REASON,PNL,_IS_HEDGE,_PARENT_ID
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-08b3a1c4-d646-4966-916d-bf141f67cf2e,01-01-2019 00:00:00,3843.52,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,05-01-2019 00:00:00,3845.19,Strategy Signal,-9.36,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-fa0fc32b-7c6f-4561-af67-6208af92ae4a,01-02-2015 00:00:00,226.97,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,03-02-2015 00:00:00,227.27,Strategy Signal,-0.76,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-903fd874-42b0-4c6b-8446-1b7215cfd470,01-04-2015 00:00:00,247.27,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,06-04-2015 00:00:00,255.49,Strategy Signal,-8.73,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-13610713-b065-4ef4-8df2-905f163529b1,01-04-2023 00:00:00,28411.03,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,22-04-2023 00:00:00,27817.5,Strategy Signal,-649.76,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-44fc6cb5-cc33-48f5-8285-724c6a133243,01-06-2021 00:00:00,36684.92,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-06-2021 00:00:00,35698.3,Strategy Signal,-1059.0,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-00dd2f71-c885-4f2c-be25-f1a5338013ea,01-07-2014 00:00:00,640.81,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,02-07-2014 00:00:00,650.88,Strategy Signal,8.78,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-c56283ce-22f8-474a-913f-2d491ac32f6d,02-01-2022 00:00:00,47345.22,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,08-01-2022 00:00:00,41733.94,Strategy Signal,-5700.36,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000,02-02-2026 00:00:00,78688.76,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,01-03-2026 00:00:00,65738.1,Strategy Signal,12806.23,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-70a0f20e-a0ef-4d6b-b1aa-bfd49da292d1,02-04-2022 00:00:00,45868.95,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,04-04-2022 00:00:00,46622.67,Strategy Signal,661.23,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-bf05ac22-6210-4696-b9da-06d17be594a5,02-06-2023 00:00:00,27249.59,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,03-06-2023 00:00:00,27075.13,Strategy Signal,120.13,False,
