trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20130524-000000-001-000-1,O-20130607-000000-001-000-2,SELL,FLAT,0,1,1369353600000000000,2013-05-24 00:00:00+00:00,1370563200000000000,2013-06-07 00:00:00+00:00,1209600000000000,133.2,111.5,['0.24 USD'],0.16291,21.46 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20130607-000000-001-000-3,O-20130730-000000-001-000-4,BUY,FLAT,0,1,1370563200000000000,2013-06-07 00:00:00+00:00,1375142400000000000,2013-07-30 00:00:00+00:00,4579200000000000,111.5,107.99,['0.22 USD'],-0.03148,-3.73 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20130730-000000-001-000-5,O-20131002-000000-001-000-6,SELL,FLAT,0,1,1375142400000000000,2013-07-30 00:00:00+00:00,1380672000000000000,2013-10-02 00:00:00+00:00,5529600000000000,107.99,114.13,['0.22 USD'],-0.05686,-6.36 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20131002-000000-001-000-7,O-20131015-000000-001-000-8,BUY,FLAT,0,1,1380672000000000000,2013-10-02 00:00:00+00:00,1381795200000000000,2013-10-15 00:00:00+00:00,1123200000000000,114.13,145.24,['0.26 USD'],0.27258,30.85 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20131015-000000-001-000-9,O-20131216-000000-001-000-10,SELL,FLAT,0,1,1381795200000000000,2013-10-15 00:00:00+00:00,1387152000000000000,2013-12-16 00:00:00+00:00,5356800000000000,145.24,705.97,['0.86 USD'],-3.86071,-561.59 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20131216-000000-001-000-11,O-20140104-000000-001-000-12,BUY,FLAT,0,1,1387152000000000000,2013-12-16 00:00:00+00:00,1388793600000000000,2014-01-04 00:00:00+00:00,1641600000000000,705.97,859.51,['1.57 USD'],0.21749,151.97 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20140104-000000-001-000-13,O-20140127-000000-001-000-14,SELL,FLAT,0,1,1388793600000000000,2014-01-04 00:00:00+00:00,1390780800000000000,2014-01-27 00:00:00+00:00,1987200000000000,859.51,771.39,['1.63 USD'],0.10252,86.49 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20140127-000000-001-000-15,O-20140416-000000-001-000-16,BUY,FLAT,0,1,1390780800000000000,2014-01-27 00:00:00+00:00,1397606400000000000,2014-04-16 00:00:00+00:00,6825600000000000,771.39,527.4,['1.30 USD'],-0.3163,-245.29 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20140416-000000-001-000-17,O-20140724-000000-001-000-18,SELL,FLAT,0,1,1397606400000000000,2014-04-16 00:00:00+00:00,1406160000000000000,2014-07-24 00:00:00+00:00,8553600000000000,527.4,601.73,['1.13 USD'],-0.14094,-75.46 USD,True
BACKTESTER-001,BollingerBandsStrategy-000,BTCUSD.CRYPTO,CRYPTO-001,O-20140724-000000-001-000-19,O-20141112-000000-001-000-20,BUY,FLAT,0,1,1406160000000000000,2014-07-24 00:00:00+00:00,1415750400000000000,2014-11-12 00:00:00+00:00,9590400000000000,601.73,423.56,['1.02 USD'],-0.2961,-179.19 USD,True
